Question,Answer,Unit,Total - Total,Gender - Male,Gender - Female,Age - 18-24,Age - 25-34,Age - 35-44,Age - 45-54,Age - 55-64,Age - 65+,Region - South,Region - West,Region - Mid West,Region - North East,Election 2016 - Donald Trump (Republican),Election 2016 - Hillary Clinton (Democrat),Election 2016 - Other,Election 2016 - Didn't Vote,Election 2020 - Donald J  Trump (Republican),Election 2020 - Joseph R  Biden (Democrat),Election 2020 - Jo Jorgensen (Libertarian),Election 2020 - Howie Hawkins (Green),Election 2020 - Other (Another Third Party/Write-In),Election 2020 - Don’t Know,Election 2020 - Won't Vote
go_flight,unsafe,pct,0.709294269,0.691132495,0.727096403,0.592805688,0.570081474,0.632259232,0.777343065,0.776559922,0.841876197,0.690775872,0.756515945,0.693373342,0.704180665,0.643846591,0.786233003,0.70074695,0.678949523,0.619046125,0.819558456,0.617004698,0.574182132,0.593255241,0.628843074,0.68714875
go_flight,unsafe,ct,1418.588537,684.2211701,734.3673673,138.716531,202.9490046,204.8519913,247.1950947,257.8178941,367.0580218,528.5651183,361.1440686,288.6762838,240.2030667,489.9324235,625.4104571,66.29227322,236.9533835,458.2018573,702.5912482,28.35742638,14.19744905,17.82867311,107.5789785,89.83290484
go_flight,dont_know,pct,0.104427385,0.089525313,0.119034366,0.151879561,0.143816691,0.118727379,0.081426589,0.086740141,0.0664155,0.114426138,0.091178242,0.118710057,0.083107732,0.088929432,0.083589296,0.13378268,0.177756099,0.103258273,0.064893016,0.147221968,0.199143822,0.170153511,0.208665577,0.185821174
go_flight,dont_know,ct,208.8547698,88.63006019,120.2247096,35.53981731,51.19874189,38.46767084,25.89365528,28.79772668,28.95715779,87.55613451,43.52648668,49.42327012,28.34887849,67.6704865,66.49125565,12.65614926,62.03687839,76.42909079,55.63149896,6.766295491,4.924107014,5.113501087,35.69734736,24.2929291
go_travel_another_country,safe,pct,0.135322677,0.158157218,0.112940306,0.184389891,0.257301494,0.186583507,0.101783236,0.066858289,0.047893832,0.152591834,0.111240828,0.112562179,0.158066704,0.197107415,0.080171328,0.242221715,0.097335578,0.20070544,0.077199008,0.136325915,0.232723828,0.182581618,0.139387893,0.111330761
go_travel_another_country,safe,ct,270.6453545,156.5756456,114.0697089,43.14723449,91.59933178,60.45305632,32.367069,22.19695205,20.88171083,116.7596094,53.1039241,46.86368745,53.91813347,149.9880794,63.77242684,22.91473133,33.97011689,148.5569522,66.18118187,6.265514874,5.754419209,5.486994062,23.8457061,14.55458617
go_travel_another_country,unsafe,pct,0.753311949,0.731779358,0.774418152,0.61267448,0.603101059,0.682133771,0.80957846,0.845222133,0.893309753,0.725704277,0.811442912,0.765537641,0.718966106,0.695439221,0.842824859,0.623068971,0.710779269,0.678876184,0.85889686,0.669107534,0.481245692,0.727609318,0.642426159,0.714446015
go_travel_another_country,unsafe,ct,1506.623898,724.4615643,782.1623337,143.3658283,214.703977,221.0113417,257.4459504,280.6137483,389.4830524,555.2914956,387.3649945,318.7208794,245.2465284,529.1916242,670.4265513,58.94375772,248.0619647,502.4865129,736.3152843,30.75206349,11.89946676,21.86631958,109.9026972,93.40155372
go_travel_another_country,dont_know,pct,0.111365374,0.110063424,0.112641542,0.202935629,0.139597447,0.131282722,0.088638304,0.087919577,0.058796415,0.121703889,0.07731626,0.121900179,0.12296719,0.107453364,0.077003813,0.134709314,0.191885153,0.120418375,0.063904132,0.19456655,0.28603048,0.089809064,0.218185948,0.174223223
go_travel_another_country,dont_know,ct,222.7307476,108.9627902,113.7679574,47.4869372,49.69669126,42.53560203,28.18698065,29.18929967,25.63523678,93.12489497,36.90908137,50.75143311,41.94533814,81.76619644,61.25282182,12.74381095,66.96791837,89.13055269,54.78374794,8.942244099,7.072500069,2.698967206,37.3260395,22.77669608
